iter	Logloss
0	0.6822752139
1	0.6720315595
2	0.6614631253
3	0.6528623482
4	0.6439331509
5	0.634817871
6	0.6251864188
7	0.6181100626
8	0.6098379787
9	0.6029080071
10	0.596135682
11	0.5889601895
12	0.5842578857
13	0.5782468361
14	0.5713025931
15	0.5648741287
16	0.5579631609
17	0.5530221613
18	0.5464533935
19	0.5426542234
20	0.5380661982
21	0.5329048994
22	0.5295633802
23	0.5258416757
24	0.5217496842
25	0.5149760409
26	0.5110709434
27	0.5072271631
28	0.5019925114
29	0.498733127
30	0.4945962596
31	0.4896656317
32	0.4873927158
33	0.4836939738
34	0.4796617775
35	0.4772217751
36	0.4736287977
37	0.4708974362
38	0.4679721742
39	0.4670134288
40	0.4644010095
41	0.4615534632
42	0.4587909051
43	0.4570412975
44	0.4547974137
45	0.4522897221
46	0.4501655336
47	0.4469449028
48	0.4446898148
49	0.4421130459
50	0.4399052939
51	0.4374550441
52	0.4352551638
53	0.4335618981
54	0.4318199275
55	0.4301767408
56	0.4278935292
57	0.4260950233
58	0.4242463712
59	0.4228701665
60	0.4207976881
61	0.4186271293
62	0.416965629
63	0.4156741406
64	0.4127588027
65	0.4111951802
66	0.4099324291
67	0.4081925186
68	0.4063971052
69	0.4047570555
70	0.4025262013
71	0.4004649173
72	0.3993321213
73	0.3975904575
74	0.3958850729
75	0.393810652
76	0.3929970217
77	0.3914098533
78	0.390049131
79	0.387975271
80	0.3869829786
81	0.3851647733
82	0.3837505535
83	0.382154335
84	0.3808070019
85	0.3792907655
86	0.3773794741
87	0.3761973635
88	0.3749411865
89	0.3737617047
90	0.3727170162
91	0.3713502701
92	0.3702214101
93	0.368748606
94	0.3672294552
95	0.365177437
96	0.3633780757
97	0.361857087
98	0.3609756813
99	0.3598314255
100	0.358210011
101	0.3565715303
102	0.3552708512
103	0.3540435944
104	0.352688734
105	0.3518895235
106	0.3506475069
107	0.3493461385
108	0.3483550042
109	0.3473453756
110	0.3461176527
111	0.3459279966
112	0.3444675131
113	0.3436306833
114	0.3425297039
115	0.3411108875
116	0.3402320731
117	0.3392889965
118	0.3381613184
119	0.3364026864
120	0.3350956171
121	0.3336472087
122	0.3330167085
123	0.3317139346
124	0.3307117601
125	0.3295151602
126	0.3281214935
127	0.326956794
128	0.326235776
129	0.3251148331
130	0.3242998177
131	0.323389044
132	0.3220363045
133	0.3205490636
134	0.3194407953
135	0.3186769652
136	0.3175116607
137	0.3166186111
138	0.315399851
139	0.3141575487
140	0.3131116183
141	0.312084841
142	0.3109269408
143	0.3100368856
144	0.3091100785
145	0.3084040453
146	0.3076427377
147	0.3068739465
148	0.3060496567
149	0.3053662219
150	0.3040930793
151	0.3030349837
152	0.3020446097
153	0.3013555827
154	0.3005706035
155	0.2997619635
156	0.2985083463
157	0.297081266
158	0.2960224994
159	0.2950576936
160	0.2936348022
161	0.2925882592
162	0.2918210839
163	0.2906115907
164	0.289522787
165	0.2886811475
166	0.2879974188
167	0.2872928383
168	0.2858786657
169	0.2850108066
170	0.2840903433
171	0.2827569212
172	0.2816589671
173	0.2808172663
174	0.2803919748
175	0.2797958701
176	0.2792104096
177	0.2784955216
178	0.2772812736
179	0.2764585849
180	0.2754718023
181	0.2747067043
182	0.2740806187
183	0.2733084776
184	0.2725871477
185	0.2718146514
186	0.2712417497
187	0.2704480649
188	0.2698420465
189	0.2689830129
190	0.2678064696
191	0.2669962366
192	0.2660544118
193	0.265056046
194	0.2643072174
195	0.2637246529
196	0.2631639046
197	0.2623885403
198	0.2613605758
199	0.2605989229
200	0.2598267326
201	0.2592408629
202	0.258604018
203	0.2576428891
204	0.2571531215
205	0.2564126984
206	0.2558246043
207	0.2554639005
208	0.2550560092
209	0.2540892713
210	0.2530965026
211	0.252610062
212	0.2516757208
213	0.2509997206
214	0.2500942006
215	0.2490849575
216	0.2485615107
217	0.2479734498
218	0.247515913
219	0.246675032
220	0.2459110794
221	0.2451786049
222	0.2442273761
223	0.2433406633
224	0.2425734902
225	0.2415526778
226	0.2405602917
227	0.2400203653
228	0.2393810201
229	0.2385810961
230	0.2376150198
231	0.2373228217
232	0.2362187022
233	0.2352939439
234	0.2346328703
235	0.2330125288
236	0.2325533343
237	0.2320317898
238	0.2310204083
239	0.2303166547
240	0.2293541301
241	0.2285085136
242	0.2277596114
243	0.2266662834
244	0.2256133224
245	0.2250206882
246	0.2242223787
247	0.2235490276
248	0.223036896
249	0.2223783103
250	0.2219015266
251	0.2213053133
252	0.2207838719
253	0.2202500654
254	0.2193833047
255	0.2189474557
256	0.2182831667
257	0.2169500617
258	0.2163021355
259	0.2156796801
260	0.2150228276
261	0.2144622979
262	0.2140010451
263	0.2134313205
264	0.212530866
265	0.2120163452
266	0.211729995
267	0.2108511088
268	0.2100846252
269	0.2093765317
270	0.2086280893
271	0.2079446491
272	0.2076320161
273	0.2066716922
274	0.2063115834
275	0.2057647284
276	0.2051253048
277	0.2046075269
278	0.203855037
279	0.2030530274
280	0.2025354961
281	0.2020460352
282	0.2010983379
283	0.2004335537
284	0.1994630283
285	0.1988711424
286	0.1979656171
287	0.1971933427
288	0.1963372691
289	0.1952220689
290	0.1947333626
291	0.1941689949
292	0.1934610345
293	0.192596099
294	0.1920332133
295	0.191402128
296	0.1907813035
297	0.1901329842
298	0.1894316402
299	0.1887758461
300	0.1882533025
301	0.1875034827
302	0.1866081728
303	0.186014399
304	0.1853484979
305	0.1848628204
306	0.1844124834
307	0.1837599394
308	0.1834425703
309	0.1829377201
310	0.1821938469
311	0.1812834958
312	0.1804768895
313	0.1797925923
314	0.1792823557
315	0.1785312234
316	0.1779527723
317	0.1773862379
318	0.1764525846
319	0.1762519255
320	0.1754455311
321	0.1751031238
322	0.1743316393
323	0.1739847942
324	0.1732908499
