iter	Passed	Remaining
0	20	10290
1	38	9669
2	60	9957
3	79	9801
4	94	9376
5	118	9723
6	135	9522
7	160	9854
8	175	9594
9	190	9334
10	208	9260
11	230	9379
12	255	9559
13	276	9594
14	290	9402
15	305	9229
16	318	9059
17	333	8943
18	348	8825
19	364	8751
20	383	8756
21	405	8803
22	422	8756
23	436	8658
24	451	8572
25	465	8490
26	479	8393
27	493	8327
28	509	8272
29	523	8196
30	542	8210
31	564	8251
32	584	8277
33	599	8219
34	614	8162
35	627	8091
36	641	8033
37	657	7988
38	674	7973
39	687	7902
40	707	7918
41	721	7872
42	736	7824
43	744	7713
44	758	7670
45	775	7658
46	797	7682
47	829	7811
48	856	7882
49	901	8116
50	947	8337
51	971	8367
52	985	8309
53	1001	8268
54	1015	8212
55	1029	8159
56	1043	8110
57	1059	8072
58	1076	8044
59	1090	7996
60	1110	7989
61	1127	7966
62	1143	7933
63	1158	7895
64	1172	7849
65	1186	7803
66	1200	7761
67	1214	7717
68	1228	7671
69	1241	7627
70	1255	7587
71	1269	7544
72	1284	7514
73	1302	7497
74	1323	7501
75	1354	7556
76	1379	7577
77	1399	7572
78	1416	7550
79	1433	7525
80	1450	7504
81	1468	7483
82	1484	7459
83	1501	7435
84	1518	7411
85	1534	7388
86	1550	7359
87	1564	7325
88	1579	7292
89	1593	7257
90	1608	7227
91	1622	7193
92	1635	7159
93	1648	7121
94	1662	7089
95	1676	7056
96	1691	7027
97	1704	6993
98	1719	6963
99	1733	6933
100	1748	6909
101	1763	6879
102	1776	6848
103	1790	6818
104	1805	6792
105	1821	6771
106	1837	6748
107	1858	6747
108	1883	6755
109	1907	6762
110	1930	6764
111	1934	6702
112	1954	6694
113	1978	6697
114	2000	6696
115	2016	6676
116	2037	6669
117	2058	6664
118	2077	6649
119	2094	6631
120	2110	6610
121	2128	6595
122	2147	6583
123	2165	6567
124	2183	6549
125	2203	6541
126	2222	6528
127	2240	6510
128	2256	6489
129	2274	6473
130	2292	6456
131	2308	6435
132	2325	6415
133	2341	6395
134	2358	6376
135	2376	6359
136	2395	6347
137	2411	6326
138	2428	6306
139	2446	6290
140	2468	6286
141	2486	6268
142	2504	6252
143	2520	6231
144	2542	6224
145	2558	6204
146	2576	6186
147	2593	6168
148	2610	6149
149	2626	6128
150	2643	6110
151	2661	6093
152	2677	6073
153	2692	6049
154	2706	6023
155	2722	6003
156	2736	5978
157	2749	5952
158	2763	5927
159	2778	5905
160	2794	5883
161	2808	5859
162	2821	5833
163	2835	5809
164	2849	5784
165	2865	5765
166	2885	5753
167	2900	5732
168	2914	5708
169	2928	5684
170	2942	5660
171	2955	5636
172	2975	5623
173	2991	5605
174	3005	5581
175	3019	5558
176	3033	5535
177	3047	5513
178	3061	5489
179	3076	5468
180	3091	5448
181	3105	5426
182	3119	5403
183	3133	5382
184	3147	5359
185	3163	5341
186	3183	5328
187	3206	5321
188	3229	5313
189	3245	5295
190	3262	5277
191	3280	5261
192	3297	5245
193	3311	5223
194	3325	5200
195	3339	5179
196	3354	5158
197	3368	5137
198	3385	5121
199	3399	5099
200	3415	5080
201	3429	5059
202	3443	5037
203	3459	5020
204	3476	5002
205	3491	4983
206	3505	4962
207	3520	4942
208	3534	4920
209	3548	4899
210	3562	4879
211	3577	4859
212	3590	4838
213	3604	4817
214	3618	4797
215	3632	4775
216	3646	4755
217	3660	4735
218	3675	4716
219	3690	4697
220	3706	4679
221	3721	4659
222	3735	4640
223	3749	4619
224	3763	4599
225	3778	4580
226	3792	4560
227	3806	4541
228	3820	4521
229	3834	4501
230	3848	4481
231	3863	4462
232	3883	4449
233	3903	4437
234	3926	4427
235	3944	4411
236	3962	4397
237	3980	4381
238	3997	4364
239	4013	4348
240	4030	4331
241	4047	4315
242	4069	4304
243	4086	4287
244	4104	4271
245	4118	4251
246	4132	4232
247	4145	4212
248	4159	4192
249	4174	4174
250	4192	4158
251	4211	4144
252	4235	4135
253	4256	4122
254	4277	4109
255	4301	4099
256	4323	4088
257	4346	4076
258	4388	4083
259	4405	4067
260	4425	4052
261	4445	4038
262	4461	4020
263	4479	4004
264	4495	3986
265	4512	3969
266	4527	3951
267	4542	3932
268	4559	3915
269	4575	3897
270	4592	3880
271	4606	3861
272	4620	3842
273	4642	3828
274	4660	3813
275	4683	3801
276	4704	3787
277	4721	3770
278	4739	3754
279	4759	3739
280	4779	3724
281	4802	3712
282	4822	3697
283	4855	3692
284	4888	3687
285	4971	3719
286	5032	3734
287	5072	3734
288	5104	3726
289	5130	3715
290	5156	3703
291	5181	3690
292	5202	3675
293	5223	3659
294	5243	3643
295	5263	3627
296	5283	3611
297	5311	3600
298	5334	3586
299	5362	3574
300	5384	3559
301	5406	3544
302	5440	3536
303	5461	3521
304	5486	3507
305	5526	3503
306	5573	3503
307	5609	3496
308	5637	3484
309	5674	3477
310	5705	3467
311	5767	3475
312	5819	3476
313	5873	3478
314	5900	3465
315	5934	3455
316	5971	3447
317	5995	3431
318	6030	3421
319	6049	3402
320	6075	3388
321	6095	3369
322	6113	3349
323	6133	3331
324	6162	3318
325	6186	3301
326	6223	3292
327	6264	3285
328	6291	3270
329	6334	3263
330	6371	3253
331	6396	3236
332	6417	3218
333	6434	3198
334	6456	3180
335	6488	3166
336	6514	3150
337	6535	3132
338	6580	3125
339	6618	3114
340	6638	3095
341	6663	3078
342	6685	3060
343	6710	3043
344	6732	3024
345	6751	3005
346	6769	2984
347	6791	2966
348	6809	2946
349	6828	2926
350	6847	2906
351	6872	2889
352	6900	2873
353	6922	2855
354	6959	2842
355	6988	2826
356	7021	2812
357	7046	2794
358	7069	2776
359	7097	2760
360	7131	2746
361	7158	2728
362	7185	2711
363	7209	2693
364	7235	2676
365	7255	2656
366	7272	2635
367	7288	2614
368	7309	2594
369	7327	2574
370	7348	2555
371	7371	2536
372	7388	2515
373	7412	2497
374	7453	2484
375	7477	2465
376	7495	2445
377	7512	2424
378	7533	2405
379	7555	2386
380	7574	2365
381	7604	2349
382	7629	2330
383	7655	2312
384	7672	2291
385	7690	2271
386	7711	2251
387	7729	2231
388	7747	2210
389	7766	2190
390	7783	2169
391	7803	2149
392	7820	2129
393	7841	2109
394	7862	2089
395	7884	2070
396	7904	2050
397	7925	2031
398	7943	2010
399	7961	1990
400	7978	1969
401	8000	1950
402	8021	1930
403	8042	1911
404	8061	1891
405	8080	1870
406	8097	1850
407	8120	1831
408	8155	1814
409	8175	1794
410	8206	1777
411	8224	1756
412	8247	1737
413	8267	1717
414	8289	1697
415	8310	1678
416	8327	1657
417	8345	1637
418	8364	1617
419	8381	1596
420	8399	1576
421	8419	1556
422	8437	1535
423	8455	1515
424	8473	1495
425	8490	1474
426	8509	1454
427	8526	1434
428	8547	1414
429	8564	1394
430	8582	1373
431	8604	1354
432	8623	1334
433	8641	1314
434	8658	1293
435	8679	1274
436	8697	1253
437	8714	1233
438	8737	1214
439	8761	1194
440	8779	1174
441	8801	1154
442	8819	1134
443	8841	1115
444	8866	1095
445	8901	1077
446	8922	1057
447	8939	1037
448	8958	1017
449	8974	997
450	8996	977
451	9015	957
452	9032	937
453	9050	916
454	9068	896
455	9087	876
456	9107	856
457	9125	836
458	9144	816
459	9162	796
460	9180	776
461	9197	756
462	9222	737
463	9247	717
464	9269	697
465	9288	677
466	9306	657
467	9322	637
468	9348	617
469	9370	598
470	9393	578
471	9413	558
472	9438	538
473	9461	519
474	9478	498
475	9499	478
476	9516	458
477	9533	438
478	9552	418
479	9569	398
480	9590	378
481	9607	358
482	9625	338
483	9642	318
484	9661	298
485	9677	278
486	9696	258
487	9714	238
488	9732	218
489	9751	199
490	9767	179
491	9786	159
492	9802	139
493	9822	119
494	9846	99
495	9865	79
496	9884	59
497	9902	39
498	9919	19
499	9939	0
